address	kind	name	type	comment
00451d90	function	mission_bind_sections	void * __fastcall (char *path)	Reads the mission file, binds each directory section to its pointer and count, resets the ships to their spawn places and makes the mission's tables
00452010	function	mission_ships_reset	void __fastcall (void)	Sets each mission ship's runtime position, yaw, pitch and roll to its spawn ones
00452100	function	mission_list_waypoints	void __fastcall (void)	Lists the waypoints (kind 0x3E5) in flight groups, a group at a time, in waypoints
00452db0	function	mission_resolve_objects	void __fastcall (void)	Fills object_records with the record each object table entry stands for
00452df0	function	mission_object_record	void * __fastcall (MissionObject *object)	The first ship, flight group or squad, by the entry's kind, whose object ID is the entry's
00452ec0	function	mission_list_group_ships	void __fastcall (void)	Lists each flight group's ships in flight_group_ships, setting the group's count and first place
00453050	function	mission_bind_tables	void __fastcall (void)	Makes the bound mission's tables: the part tables, the waypoints, the groups' ships, the object records and the trigger lists
0045a300	function	mission_file_read		Reads a mission file: the loose file where there is one, as it is, into a buffer of 0xFA000 bytes, or else the archive's member through hog_load
0045a3e0	function	file_read		Reads up to a count of bytes of a file into a buffer, ending them with 0x1A
0045a570	function	process_mission	void __fastcall (void)	Runs the mission's script for the frame: its timers and its threads
004ad6e0	function	file_exists	bool __fastcall (char *path)	Whether a file exists, through _access
004ef2f8	data	flight_group_ships	MissionShip **	Each flight group's ships, group after group
00525710	data	waypoints		The waypoints, a flight group and a ship each, grouped by flight group and ending with a pair of nulls
0052527e	data	waypoint_count	ushort	
00538c90	data	object_records	void **	The record each object table entry stands for, by object ID
00525f9a	data	mission_format_flags	byte	Set where any section has the first of the directory's four flags; nothing reads it
00525fa4	data	mission_format_flags_2	byte	The second flag, likewise
005267c6	data	mission_format_flags_3	byte	The third flag, likewise
005294e8	data	mission_format_flags_4	byte	The fourth flag, likewise
00529524	data	mission_image	void *	The bound mission's file, as mission_bind_sections read it
00587cdc	data	mission25_second_part	byte	Set once mission 25's first part is won: the next start plays mission251.dte
00452a20	function	mission_bind_section		Binds the next directory entry to a section's count and pointer, noting its format flags
0045cb40	function	mission_alloc_part_tables	void __fastcall (void)	Allocates the part tables, 256 entries each
0045cb80	function	mission_alloc_table		Frees and reallocates a table of count x size bytes
00452f50	function	mission_build_part_tables	void __fastcall (void)	Fills the runtime part tables from sections 8 and 17
00452fd0	function	mission_fill_part	void __fastcall (MissionPart *part, VmFunction *entry)	block = script + start * 2, arguments from the descriptor
00453020	function	part_in_table_b	uint __fastcall (MissionPart *part)	Whether a part descriptor lies outside section 8, in section 17
00525f3c	data	mission_operands_a		Section 1
005294f8	data	mission_globals	MissionGlobal *	Section 2
005267bc	data	mission_globals_count	ushort	
0052951c	data	mission_ships	MissionShip *	Section 3
00529504	data	mission_ships_count	ushort	
005267cc	data	mission_flight_groups	FlightGroup *	Section 4
005267c8	data	mission_flight_groups_count	ushort	
005294e0	data	mission_triggers	Trigger *	Section 5
00529506	data	mission_triggers_count	ushort	
00525f88	data	mission_script	byte *	Section 6, bytecode
005294f4	data	mission_script_halfwords	ushort	
005267c0	data	mission_objects	MissionObject *	Section 7, the object table, indexed by object ID
00525fac	data	mission_objects_count	ushort	
005267d0	data	mission_parts	MissionPart *	Section 8
00529518	data	mission_parts_count	ushort	
005294d8	data	mission_script_flags	byte *	Section 10, one flag per script byte
005294fc	data	mission_squads	Squad *	Section 12
005294f0	data	mission_squads_count	ushort	
00529500	data	mission_squad_members	SquadMember *	Section 13
00529520	data	mission_squad_members_count	ushort	
00525fb0	data	mission_curves	Curve *	Section 16: the mission's curves, 0x44 bytes each
005267c4	data	mission_curve_count	ushort	
005294ec	data	mission_parts_b	MissionPart *	Section 17
00529508	data	mission_parts_b_count	ushort	
00525fb4	data	mission_script_b	byte *	Section 18
00529510	data	mission_script_b_halfwords	ushort	
00525f9c	data	mission_command_flags	ushort *	Section 24, one per command
004529d0	function	mission_operand	void * __fastcall (ushort index, char bank)	Operand index of the table bank names: 0 section 1, 1 section 22, 2 section 26
00525278	data	mission_operands_b		Section 22, the second operand table
0052570c	data	mission_operands_c		Section 26, the third operand table
00525f18	data	mission_formations		Section 14, 8 bytes each: +4 is the first of the formation's points in section 15
005256b8	data	mission_formation_points		Section 15, 0x10 bytes each
00525f90	data	mission_command_flags_b	ushort *	Section 25, one per command_b entry
0045cbc0	function	mission_script_start	void __fastcall (void)	Installs conditions and commands, runs the start part, arms every trigger an object's slice holds
0045cea0	function	trigger_match	void __fastcall (ushort object, byte qualifier, Condition condition, uint *values, ushort count)	Fires the object's armed triggers whose condition, qualifier and operands match an event
0045d0d0	function	trigger_thread_running	bool __fastcall (Trigger *trigger)	Whether a thread the trigger started is still running, which keeps it from starting another
0045ce70	function	trigger_raise_event	void __fastcall (ushort object, byte qualifier, Condition condition, uint *values, ushort count)	Raises an event on an object, then resets condition_verdict
00453210	function	condition_raise		Asks the condition's handlers for a verdict, then raises the event on the flight group and the squads holding it
0045b7c0	function	event_post	void __fastcall (MissionShip *ship, byte qualifier, Condition condition, uint *values, byte count)	Queues an event on a ship, where one of the ship's own triggers would answer it (event_would_fire)
0045b690	function	event_post_group	void __fastcall (MissionShip *ship, Condition condition, byte count, uint *values, byte qualifier)	Queues an event on a ship, to be raised on its flight group and squads as well, where a trigger of the ship's, of its flight group's or of a squad's holding it would answer it
0045b840	function	events_flush	void __fastcall (void)	Raises every queued event, then empties the queue
0052abd8	data	event_queue		Events waiting for events_flush, 0x30 bytes each: QueuedEvent
005373e4	data	event_queue_count	uint	
0045a9b0	function	event_launched		Queues Launched for a live object's ship
0045a9e0	function	event_shot_at		Queues ShotAt: attacker, the victim's damage value twice, victim, and -1 for the weapon
0045aa60	function	event_destroyed		Queues Destroyed for a ship, or for one of its components, marking it destroyed
00404ee0	function	event_ship_reached		Raises ShipReached at once on a ship's object, with the ship given (trigger_raise_event)
0045ac60	function	mission_wings_build	void (void)	Lists each flight group whose byte at +0x08 names a wing, 0 to 2, in that wing's table, six slots each: its +0x09 ships from its first in the mission's ship list (+0x0C) take the slots from the first, each object getting the wing's number at +0x74C, and the slot after the last is set to -1
0045ac30	function	ship_object	GameObject * __fastcall (MissionShip *ship)	The live object of a mission ship
0045a970	function	object_ship	MissionShip * __fastcall (GameObject *object)	The mission ship of a live object, or null
0045ade0	function	object_component_index	uint __fastcall (GameObject *object, ModelNode *node)	A component's index among a live object's components, or 0xFF
00452cb0	function	ship_damage_value	int __fastcall (MissionShip *ship, byte component)	How much of its armour a ship has lost, in whole hundredths: its weakest quadrant's against six times its type's armour class, or a component's against what it starts with; 100 once any has run out
00452bb0	function	shot_at_group_begin		Zeroes the damage sums
00452bd0	function	shot_at_group_add		Adds a member's damage value to the sums
00452c00	function	shot_at_group_verdict		Replaces the event's damage values with the members' average; never vetoes
00452c40	function	destroyed_group_begin		Starts the verdict at true
00452c50	function	destroyed_group_add		Clears the verdict for a member, or its named component, not yet destroyed
00452ca0	function	destroyed_group_verdict		Returns the verdict
0045d800	function	cloak_group_add		Cloaked's and Decloaked's handler for each member: does nothing, so every event goes ahead
0045d810	function	trigger_check_operand	bool __fastcall (EventValue *value, uint *operand, uint event_value, Trigger *trigger)	Checks one trigger operand against the event's value: any ship passes the players' ships, a number of the proximity conditions is an upper bound, else the two must be equal
004530a0	function	trigger_operand_value	uint __fastcall (uint kinds, uint operand)	What an operand stands for: a number as it is, 0xFFFFFFFE for any of the players' ships, else the record a reference names
004530d0	function	reference_resolve	void * __fastcall (uint reference)	The record a reference names
00453190	function	reference_tag	uint __fastcall (uint reference)	Bits 16 to 23 of a reference
00453100	function	reference_tag_kind	ushort __fastcall (ushort tag)	The object kind a reference tag selects; a fatal error for any other tag
00453150	function	object_record	void * __fastcall (uint kind, uint index)	A ship's, flight group's or squad's record by index
0045a440	function	fatal_error		Reports an emergency and exits the game
004531a0	function	trigger_index	uint __fastcall (Trigger *trigger)	Index of a trigger record
00453070	function	squad_index	uint __fastcall (Squad *squad)	Index of a squad record, or 0xFFFF
00452aa0	function	ship_flight_group	FlightGroup * __fastcall (MissionShip *ship)	The flight group a ship names, or null
0045cb20	function	ship_in_flight_group	uint __fastcall (MissionShip *ship, FlightGroup *group)	in_flight_group
00452ac0	function	object_in_squad	uint __fastcall (Squad *squad, ushort *object, uint tag)	in_squad: whether an object is in a squad, following nested squads
004f6698	data	condition_descriptors	ConditionDescriptor[35]	The condition catalogue
0052952c	data	condition_table	ConditionDescriptor *	Installed condition catalogue
00525f8c	data	condition_count	ushort	
00525f84	data	condition_verdict	byte	The condition handlers' verdict; 1 unless they vetoed the event, set again after each event and by mission_script_start
0053757c	data	trigger_current	Trigger *	Trigger the matcher is testing
00538ca0	data	event_values	ObjectEvents *	Each object's last events, which push_event_value reads
0045a4e0	function	init_mission	void (void)	Readies a mission: the event queue emptied, and mission_initialised set; asserts no mission is initialised
0045a530	function	destroy_mission	void (void)	Ends a mission: mission_initialised cleared; asserts one is initialised
005373e8	data	mission_initialised	short	Set by init_mission, cleared by destroy_mission
0045b4e0	function	event_would_fire	bool __fastcall (ushort object, byte qualifier, Condition condition, uint *values, ushort count)	Whether an event on an object would fire any of its triggers, as trigger_match finds them, whatever their threads; keeps the event for the object and gives its values to a free thread's locals
0045b330	function	event_queue_room	void (void)	With a thousand events queued, lists them and stops with Trigger List exceeded
0045aad0	function	event_scooped	void __fastcall (GameObject *object, int slot)	Posts ObjectScooped with the groups for an object's ship: the ship of the object in slot taken aboard
0045ab10	function	event_ripper_grabbed	void __fastcall (GameObject *object, int slot)	Posts RipperGrabbedObject with the groups for an object's ship: the ship of the object in slot
0045ab90	function	event_ripper_dropped	void __fastcall (GameObject *object, int slot)	Posts RipperDroppedObject with the groups for an object's ship: the ship of the object in slot
0045abd0	function	event_fixed_gate_jumped_in	void __fastcall (GameObject *object, int slot)	Posts FixedGateJumpedIn with the groups for an object's ship: the ship of the object in slot
0045b300	function	event_jumped_in	void __fastcall (GameObject *object)	Posts JumpedIn with the groups for an object's ship, as Jump In ends: the ship itself
0045ac10	function	event_post_ship_reached	void __fastcall (MissionShip *ship, MissionShip *reached)	Posts ShipReached on a ship for its own triggers: the ship that came within reach
00451180	function	event_camera_reached	void __fastcall (MissionShip *ship)	Posts CameraReached on a ship, where there is one
0045af60	function	mission_proximity_check	void (void)	Once the script's clock has ticked, after the timers: the watches of CloseProximity, Proximity and ShipReached look for ships close by
0045b170	function	mission_proximity_scan	bool __fastcall (MissionShip *ship, GameObject *object, float reach, Condition condition)	Posts a ship's CloseProximity or Proximity, or its ShipReached, for each other mission ship within the square root of reach; the ship and how far, in the ship's radii
0045ae10	function	mission_watch_lists	void (void)	Makes the watch lists of CloseProximity, Proximity and ShipReached from the trigger list, as mission_bind_tables ends
0045ae40	function	mission_watch_list	void __fastcall (void *list, Condition condition)	Makes one condition's watch list: each trigger of it, the object entry whose slice holds it, and a flag set; a trigger of the player's ship watches the other players' ships too
0045b2b0	function	watch_list_arm	void __fastcall (void *list, Trigger *trigger, byte armed)	Sets the flag of each watch of a trigger in one watch list
0045b2d0	function	watch_lists_arm	void __fastcall (Trigger *trigger, byte armed)	Sets the flag of each watch of a trigger in the three watch lists
00536dd8	data	watch_close		CloseProximity's watch list: 12 bytes a watch, the trigger, the object entry whose slice holds it and a flag; a null trigger ends it
00536758	data	watch_proximity		Proximity's watch list, as watch_close
0052a5d0	data	watch_reached		ShipReached's watch list, as watch_close
00453530	function	trigger_owner	void * __fastcall (Trigger *trigger)	The first object entry whose slice holds a trigger, or null
00453610	function	object_entry_id	uint __fastcall (void *entry)	The object ID of an entry of the object table
00453200	function	record_object_id	uint __fastcall (void *record)	The object ID a ship's, flight group's or squad's record starts with
004533d0	function	condition_squad_add	void __fastcall (Squad *squad, ConditionDescriptor *condition, MissionShip *ship, uint *values, ushort *count)	A squad's members for a condition's handler for each member, counting them: a ship as the component its membership names, each ship of a flight group whole, and a squad's own members in turn
0045d390	function	trigger_set_armed	void __fastcall (Trigger *trigger, byte armed)	Arms or disarms a trigger; arming gives it its count again from +0x1A
0045d910	function	vm_tag_matches	bool __fastcall (byte component)	Whether push_component named the component for any argument of the running command; with no tag naming it, whether it is 0xFF, the object itself
0045d300	function	cmd_SetTriggerState		Arms or disarms the triggers of a condition in an entity's slice, of a component named or of the entity itself, and their watches
0045d3a0	function	cmd_SetAnyTriggerState		Arms or disarms the one trigger of a condition an argument numbers in an entity's slice, its count left as it stands, and its watches
005294e6	data	shot_at_shield_total	ushort	ShotAt's handlers' total of a group's damage values, for the shield damage
0052950a	data	shot_at_hull_total	ushort	ShotAt's handlers' total of a group's damage values, for the hull damage; always shot_at_shield_total
00525f7c	data	destroyed_group_all	byte	Destroyed's handlers' verdict: whether every member counted so far is destroyed
00545860	data	collision_retrying	byte	Set while objects_collide tests a ship against a hull again after a first hit, which holds back the ShotAt of object_damage and object_armor_damage
005373f4	data	vm_last_jump	uint	vm_clock when player_jump last took a jump or a warp, which cmd_WhenPlayerLastJumped counts from; 0xFFFF from mission_script_start
00466500	function	stats_load_ships	void __fastcall (void)	Reads shipstats.bin into ship_flight_stats and ship_combat_stats
004788f0	function	stats_load_guns	void __fastcall (void)	Reads gunstats.bin to the end of the file into gun_stats, the first record into type 1
00494bc0	function	stats_load_missiles	void __fastcall (void)	Reads missilestats.bin into missile_flight_stats and missile_stats
0049cae0	function	stats_load_pilots	void __fastcall (void)	Fills pilot_stats with defaults, then applies pilotstats.bin
00415430	function	player_spectral_shields_set	void __fastcall (bool on)	Turns the player's spectral shields on or off, when the ship carries them (spectral_shields_state not -1): object flag 0x8000000 and spectral_shields_state. Turning them on tunes them, into the object's +0x670, to the gun type most dangerous near the player: it counts the guns of each hostile ship within range, weights each type's count by its first damage value, and takes the highest, leaving out types 13 and 14
004f9e70	data	ship_flight_stats	FlightModel[256]	
004fc670	data	ship_combat_stats	ShipCombat[256]	
00500ca4	data	gun_stats	GunStats[16]	Every gun type's figures. Type 0 is no gun, so stats_load_guns fills types 1 to 15 from gunstats.bin; the first five words of each record are the executable's own
00500fa0	data	turret_steps	void *[4]	Each turret kind step, which object_step_turrets runs for a gun by its kind: none for a fixed gun, turret_aimed_step, turret_spin_step and turret_missile_step
005636e8	data	turret_tracking	int	Set around turret_aimed_track aim test and cleared after it; nothing reads it
00500f64	data	gun_flash_ticks	int[15]	How long a muzzle's flash lasts, by gun type less one, which bullet_fire sets on the part it fires from
00508700	data	gun_sound_periods	int[16]	The steps a firing gun of each type goes between the sounds of its shots. The player's shots are all heard
005035e8	data	missile_flight_stats	FlightModel[11]	
005037a0	data	missile_stats	MissileStats[11]	Every missile type's figures: the executable's own words and what stats_load_missiles reads of missilestats.bin
0058a968	data	pilot_stats	PilotStats[194]	
00441aa0	function	loadout_load		Preloads the loadout screen: stats, models, sounds
00444f20	function	loadout_draw_stats		Draws the stat rows the layout table describes
00426600	function	loadout_ship_bars_init		Sets the bar ranges from the listed ships, then computes every ship's bars
00426700	function	loadout_ship_widen_ranges		
00426790	function	loadout_ship_bars		
00426900	function	ease_in	float10 (int unused, float from, float to, float at)	From from to to by the square of at
00426920	function	ease_out	float10 (int unused, float from, float to, float at)	From from to to by the square root of at
00426950	function	ease_rise_fall	float10 (int falling, float from, float to, float at)	From from up to to and back over at from 0 to 1: by the square root of twice at over the first half and one less the square of twice the rest after; falling, the other way
0044b680	function	loadout_missile_bars_init		
0044b710	function	loadout_missile_widen_ranges		
0044b770	function	loadout_missile_bars		
004504c0	function	range_widen		Widens a {min, max} pair to include a value
004504f0	function	range_scale		Places a value within a {min, max} pair on n segments
004ec020	data	loadout_stat_layout		Eight 8-byte rows: label string ID, display kind
004e5470	data	loadout_alliance_ships		0x44 bytes per ship; ship index at +0x40
004e57a0	data	loadout_coalition_ships		
004ec278	data	loadout_ship_stats		Per-ship loadout values, 0x22C bytes apart
004c7e20	function	hog_open	void * __fastcall (char *path)	Opens a .HOG archive (bigfile.cpp): the file, a Win32 handle to it, and its header and directory read whole; null unless it starts BIGF
004c7f20	function	hog_close	void __fastcall (void *hog)	
004c7f60	function	hog_read_file	void * __fastcall (void *hog, char *name)	Reads a file from the archive, expanding RefPack: the name less an extension beginning ut, from its last backslash on; a missing one is fatal (HOG bigread2)
004c8110	function	hog_read_file_as_named	void * __fastcall (void *hog, char *name)	hog_read_file without shortening the name
004c81f0	function	hog_file_size	int __fastcall (void *hog, char *name)	A member's size, expanded for a RefPack one; 0 when missing
004c8370	function	hog_seek	int __fastcall (void *hog, char *name)	Finds a member by name, ignoring case, and seeks the archive's stream to it; its stored size, or 0 when missing
004c83f0	function	hog_locate	int __fastcall (void *hog, char *name)	Likewise, moving the archive's Win32 handle instead
004c8480	function	hog_unpack	void * __fastcall (void *hog, int size)	Reads a RefPack member at the stream and expands it, in place with 0x2800 bytes to spare, then copies it out
004c7df0	function	read_be32	uint __fastcall (void *bytes, int count)	The first count bytes as a big-endian number
004c5be0	function	hog_file_read	void * __fastcall (char *path, void *buffer)	Reads a loose file whole (hog_file.cpp)
004c5b90	function	hog_file_length	int __fastcall (char *path)	A loose file's length; 0 when it cannot be opened
005e830c	data	resource_hog	void *	resource.hog, opened by WinMain
0057bc48	data	speech_hog	void *	msspeech.hog, opened for the HUD
005e8308	data	hog_last_size	int	The size of the last file read
004c5bd0	function	hog_load		
00480d70	function	font_open		Wraps a loaded font and caches the widths of codes below 255
00481f80	function	sound_play	int __fastcall (void *bank, int index, int volume, int loops, int pan, int pitch)	Plays sound n of a bank on a voice: one finished past the first, else one stopped, else the lowest-priority one not held, if below the new sound's
004826a0	function	sound_start	void __fastcall (void *bank, int index, int volume, int pitch, int loops, int pan, int voice)	Hands Miles the WAVE file at bank + offset, at its rate moved by pitch quarter tones and its volume scaled by Fxvolume and Mastervolume
00565080	data	sound_voices	SoundVoice[16]	Voices, 0x20 bytes each
005d6ca0	data	bank_stdsmp		stdsmp.fat
00524748	data	bank_ldsmp		ldsmp.fat
0056654c	data	bank_betty		betty.fat: the cockpit's warnings
0058cb10	data	bank_smp3d		smp3d.fat
00507138	data	sound3d_eax_damping	float	EAX damping sound3d_init hands the 3D provider: 1
0058cb5c	data	sound3d_eax_effect_volume	float	EAX effect volume sound3d_init hands the 3D provider; never set, so 0
0058cb60	data	sound3d_eax_decay_time	float	EAX decay time sound3d_init hands the 3D provider; never set, so 0
00587ce0	data	game_objects	GameObject *[400]	The GO array: every live object, a mission ship's at its index among the ship records
005883fa	data	player_index	short	Slot of the player's own object in game_objects
00466ba0	function	object_number_parts	int __fastcall (GameObject *object, ModelNode *node, int number, int fill)	Numbers the part nodes (kind 1) from node down, depth first, into each node +0xFC, from number; with fill, puts each in the object part_nodes at +0x518 by its number. Returns the next number; create_object counts with it into +0x154, then fills
00466c10	function	create_object	uint __fastcall (int slot, uint type, int tier, float x, float y, float z)	Fills a slot of game_objects, the next for slot -1, with an object of a type at a place, and returns the slot: its fields, stats (another type's for a type that is that one under another number), side, model with its parts' startup tracks, pilot, shields and armour, guns and components; a type above 255 gets a stand-in
00475dd0	function	object_alloc	GameObject * __fastcall (uint type)	Allocates a live object of a type (gameobj.cpp)
00475ef0	function	object_free	void __fastcall (GameObject *object)	Frees a live object and what it owns
004688b0	function	object_reset	void __fastcall (int slot)	Replaces the object in a slot with a fresh stand-in of type 1001, flagged 0x3C, after popping its orders
00468760	function	object_collect_components	void __fastcall (GameObject *object, ModelNode *node)	Lists a node's children marked as components, then theirs, in the object's components
004991d0	function	node_alloc	ModelNode * __fastcall (uint kind, ModelNode *parent)	Allocates a model node (objects.cpp)
00499ee0	function	node_holder	ModelNode * __fastcall (ModelNode *node)	The node whose child list holds this one: its parent, or an ancestor further up
00499f20	function	node_owner	GameObject * __fastcall (ModelNode *node)	The object whose model the node is in: the owner of its tree's root
00499e30	function	node_destroy	void __fastcall (ModelNode *node)	Destroys a node and the nodes hanging from it
00499240	function	node_child_slot	int __fastcall (ModelNode *node)	A free index in a node's child list, which it creates and grows up to its capacity
004531c0	function	ship_index	uint __fastcall (MissionShip *ship)	Index of a ship record, or 0xFFFF
004c3710	function	sr_assert_failed		Surrender's assertion failure: reports FATAL: SR Assertion Failed and breaks
004f7490	data	ship_types	ShipTypeEntry[256]	A model and comms sprite name for each ship type, and the model once loaded
00538ca8	data	attachment_models	MountedModel[180]	What attachment points mount: 20 ids for each of 9 kinds
0045de70	function	attachment_models_load	void __fastcall (void)	Loads the models and sprites attachment points mount
004a44d0	function	model_load	void * __fastcall (char *name)	Loads a .SHP model by file name
004760c0	function	object_add_part	void __fastcall (GameObject *object, void *model, int part)	Gives an object a node for a part of its model
0049a8c0	function	node_draw	void __fastcall (GameObject *object, ModelNode *node, uint flags, float glow)	Adds a node's frame to the scene and draws its children: a model part's mesh on the world layer, or the overlay with flag 0x40; lights, engine glows and the cloak by the node's kind; skips hidden nodes and objects too far away to see. An engine glow of attachment id 7 burns full, the rest by the glow given, negated where the attachment's Z axis and its length point the same way, and drawn nothing at or below zero; a burning one is flickered by rand to between 0.8 and 1 of its length, then scaled by the attachment's sizes, the length by that amount
0049b390	function	object_draw	void __fastcall (ModelNode *root, uint flags, float glow)	Draws an object from its root node with node_draw, adding flag 0x10, drawn nothing, when it lies beyond the view or outside its sides; mission_frame passes it last_throttle times engines_intact as the glow
004769f0	function	object_recentre	void __fastcall (GameObject *object)	Moves the object's origin to its parts' centre of mass, adding the shift to +0x524, the root and the position, then finds its bounds, radius and inertia tensor (object_bounds) and inverts the tensor into angular_response, its lower half mirrored into its upper first
004764a0	function	node_mass_add	void __fastcall (GameObject *object, ModelNode *node)	Adds a node's mass and its mass times its centre to the object's totals, children first; parts by their mass fields, others by their meshes' boxes
00499430	function	node_add_part	ModelNode * __fastcall (ModelNode *parent, ShpPart *part)	Hangs a node for a model part from a node, then mounts what its attachment points hold
00499a10	function	node_mount	void __fastcall (ModelNode *node, ShpAttachment *attachment)	Mounts what an attachment point holds: an object of its own for guns and pods
00476130	function	object_link_parts	void __fastcall (GameObject *object)	Links each part's node to its parent part's, or to the root
00476180	function	object_link_part	void __fastcall (GameObject *object, int part, int parent)	Links a part's node to its parent part's, or to the root for none
0049cce0	function	object_set_pilot	void __fastcall (int slot, int pilot)	Gives the object in a slot its pilot and the pilot's stats
0049b600	function	object_set_position	void __fastcall (GameObject *object, Vec3 *position)	Places an object: its root node, the root's frame, and two more copies at 0x768 and 0x798
0049b650	function	object_set_orientation	void __fastcall (GameObject *object, float *orientation)	Turns an object, into the same places as object_set_position
0045a5f0	function	mission_ships_sync	void __fastcall (void)	Copies each live object's position into its mission ship's runtime position, and its heading into the runtime yaw and pitch
004c51c0	function	frame_create		Allocates a 0xB4-byte frame with a name, a position and angles
004c2a60	function	vec4_set	void __thiscall (float x, float y, float z, float w)	Sets the four floats in ECX
004c0e30	function	vec3_zero	void __fastcall (Vec3 *v)	
004c0e60	function	vec3_set	void __thiscall (float x, float y, float z)	Sets the vector in ECX
004c0e80	function	vec3_add	void __fastcall (Vec3 *a, Vec3 *b)	a += b
004c0f30	function	vec3_sub	void __fastcall (Vec3 *a, Vec3 *b)	a -= b
004c0f50	function	vec3_difference	void __fastcall (Vec3 *out, Vec3 *a, Vec3 *b)	out = a - b
004c12d0	function	vec3_distance		Distance between two points
004c14f0	function	vec3_copy	void __fastcall (Vec3 *to, Vec3 *from)	
004c1b50	function	mat3_copy	void __fastcall (float *to, float *from)	Copies a 3x3 matrix
004c1be0	function	mat3_identity	void __fastcall (float *m)	
004c1f30	function	mat3_product_transposed	void __fastcall (float *out, float *a, float *b)	out = the transpose of a, times b
004c26e0	function	mat3_scale_by	void __thiscall (float s)	Scales every element of the matrix in ECX by s
004c1da0	function	mat3_multiply	void __fastcall (float *m, float *n)	m = m times n
004c22b0	function	vec3_turn	void __fastcall (Vec3 *v, float *m)	v = m times v
004c2310	function	vec3_turn_back	void __fastcall (Vec3 *v, float *m)	v = the transpose of m, times v
004c0db0	function	sr_clamp	float __cdecl (float x, float low, float high)	x, kept between low and high
004c30a0	function	sr_fabs	float __cdecl (float x)	
004c30c0	function	sr_sqrt	float __cdecl (float x)	
004c30e0	function	sr_sin	float __cdecl (float x)	
004c3100	function	sr_cos	float __cdecl (float x)	
004c1270	function	vec3_length	float __cdecl (Vec3 *v)	
004c0ea0	function	vec3_sum	void __fastcall (Vec3 *out, Vec3 *a, Vec3 *b)	out = a + b
004c2370	function	mat3_transform_transposed	void __fastcall (Vec3 *out, Vec3 *v, float *m)	out = the transpose of m, times v
004c23c0	function	mat3_transform	void __fastcall (Vec3 *out, Vec3 *v, float *m)	out = m times v
004c1cb0	function	mat3_product	void __fastcall (float *out, float *a, float *b)	The product of two 3x3 matrices
004c2410	function	mat3_from_angles	void __thiscall (float pitch, float yaw, float roll)	Builds the rotation matrix in ECX from three angles
